Категория,Название сообщества,Описание,Контакты руководителя,Ссылка на соцсети ,Комментарий 
Искусство,Восьмое творческое объединение МИФИ (ВТО),"многопрофильное творческое объединение с театром миниатюр, концертами, написанием сценариев, клубами КВН и самодеятельной песни",Руководитель ВТО: https://vk.com/ojbvfr; Роман Козлов (консильери): https://vk.com/titanium22b ,Группа ВК: https://vk.com/vtomephi,связь осо
Искусство,Студия искусств Х.Л.А.М.,"включает хореографию, литературу и другие виды искусства","Крюченков Вячеслав - https://vk.com/mrmagician , krutchenkov00@mail.ru",вк: https://vk.com/art__calm; Тг: https://t.me/h_l_a_m,связь осо
Искусство,Ансамбль бального танца «ЭСТА-МИФИ»,танцевальное объединение с акцентом на бальные танцы,"руководитель - https://vk.com/aporeshina
allaporeshina@gmail.com
+7 (926) 523-60-13, https://vk.com/poreshin
poreshin@mail.ru
+7 (926) 829-01-29",http://vk.me/esta_mephi,"связь осо, спорт"
Искусство,Центр Молодежной Культуры НИЯУ МИФИ,"занимается вокалом, танцами, поэзией, выступлениями на сцене",?,?,
Искусство,Клуб любителей поэзии НИЯУ МИФИ,"Визитной карточкой клуба являются музыкально-поэтические вечера, на которые приходят все, кто желает послушать красивое исполнение стихотворений или песен, и кто желает самостоятельно исполнить известные произведения или произведения собственного сочинения. Также Клуб активно занимается видео производством в рамках проекта “Камерный театр”, и постоянно публикует стихотворения авторов-мифистов в группе Вконтакте.",Болгарев Михаил @bolgarew,https://vk.com/mephi_poetry,связь осо
Искусство,Лаборатория звука,"Ты музыкант? Певец? Продюсер музыки? Сочиняешь песни или просто любишь музыку? Тогда обязательно вступай в Лабораторию звука!
Ведь Лаборатория звука - это:
Репетиционная база в МИФИ
Куча оборудования для выступлений и записи
Возможность найти единомышленников
Просто крутые и заряженные ребята, которые помогут тебе во всем, связанном с музыкой :)","студенческий руководитель, администратор репбазы, ответственный за ударные - https://vk.com/id172560064; заместитель, администратор репбазы, ответственный за технику - https://vk.com/madvasya: отвечу на вопросы - https://vk.com/mavtice, https://vk.com/tapppyofficial, https://vk.com/anchous_annstep: главный редактор и дизайнер - https://vk.com/kate_sh9: редактор и дизайнер - https://vk.com/alexofrivia: отец-основатель - https://vk.com/leliksss",вк: https://vk.com/rl_mephi,связь осо
Искусство,Мужской академический хор МИФИ,"Участниками хора являются студенты, сотрудники и выпускники Национального исследовательского ядерного университета ""МИФИ"". Народный коллектив, лауреат премии Ленинского комсомола, лауреат Всероссийских и международных конкурс, Чемпион IX всемирных хоровых игр.",Художественный руководитель и дирижер - заслуженная артистка РФ Надежда Малявина,https://taplink.cc/choirmephi,связь осо
искусство ,EXPlosion МИФИ,"➡Хип-хоп команда НИЯУ МИФИ ⬅

Принимаем участие во многих московских и всероссийских соревнованиях. Танцуем не только hip-hop, но и house, breakdance, vogue. Также пробуем себя в dancehall, afro, jazz funk, twerk, popping, contemporary. Как видишь, скучать — это точно не про нас!","руководитель - https://vk.com/varushka08, пиар - https://vk.com/tremendousclown, хореограф - https://vk.com/baba_klava0606",https://t.me/explosion_mephi https://vk.com/explosion_mephi,связь спорт 
Искусство,Камерный хор «Carpe Diem» ,"Коллектив ежегодно принимает участие в культурно-массовых мероприятиях Университета, ведет активную концертную деятельность, выступает на ведущих концертных площадках Москвы и представляет МИФИ на городских и международных фестивалях.",Гурская Елена Сергеевна; Даутов Остап Олегович (контактов нет),ВК: https://vk.com/carpediemmephi; Тг: https://t.me/carpediemchoir,связь осо
Искусство,Культура и Творчество МИФИ (КиТ МИФИ),"Доступно и интересно рассказываем студентам МИФИ обо всех видах искусства и культурной жизни не только в самом университете, но и за его пределами!",https://vk.com/kozlovaa_ia IATyurina@mephi.ru; https://vk.com/titanium22b rakozlov@mephi.ru; редактор - https://vk.com/tatuanaru,https://vk.com/culturamephi Telegram: https://t.me/kit_mephi,связь осо
искусство ,"""Вокальная студия НИЯУ МИФИ """"Quanto di Stella""""""","""QUANTO DI STELLA - ЧАСТИЧКА ЗВЕЗДЫ

Занятия в нашем коллективе дадут тебе следующие возможности:
- постановка голоса
- постановка дыхания
- раскрепощение
- работа над дикцией
- актерское мастерство
- работа с микрофоном
- выступление на сцене в ансамбле <3
- сольные выступления.

Также с нами ты сможешь совершенствовать свои навыки аккомпанемента на музыкальных инструментах. Если у тебя уже есть любимые произведения, то работа в студии поможет тебе овладеть ими!""",староста ансамбля - https://vk.com/id384208537: руководитель - https://vk.com/id87809882,https://vk.com/quanto_di_stella,
Карьера,Студенческие карьерные медиа ,"команда, освещающая карьерные события и возможности для студентов НИЯУ МИФИ",,,"связь медиа, осо"
Карьера,Мастерская компетенций,"сообщество, направленное на развитие профессиональных и карьерных навыков",https://vk.com/id151387445,https://vk.com/mephi_ccenter,связь осо
Карьера,Сообщество студентов Росатома,связанное с карьерой в отрасли Росатома и её предприятиях,https://vk.com/vladimirkvv,https://vk.com/rosatomstudent,связь осо
Карьера,ВИКLab,"карьерное сообщество, связанное с IT-направлениями и инновациями",mailto:rector@mephi.ru,https://vk.com/vikrf_ru,связь осо
Карьера,Кейс-клуб,сообщество для тренировки навыков решения бизнес-кейсов и развития компетенций,https://vk.com/z0z0z0zz0 (медийщик),https://vk.com/cmephi,связь осо
Карьера,Бизнес Клуб,"сообщество, ориентированное на предпринимательство и карьеру в бизнесе",@pltnkvartem,https://t.me/businessclubmephi,связь осо
Карьера,Карьерный клуб «Старт Карьеры»,"предоставляет информацию о стажировках, практиках и вакансиях, занимается организацией карьерных мероприятий и получил признание на премии «ВРаботе 2023» как один из лучших студенческих карьерных проектов Москвы",https://vk.com/mbambak,https://vk.com/career_counseling,
Карьера,Академия карьерных сообществ,"интенсивный образовательный проект с тренингами, мастер-классами и играми для развития карьерных навыков и создания карьерных проектов студентами",,,
Медиа,Студенческие карьерные медиа ,"команда, освещающая карьерные события и возможности для студентов НИЯУ МИФИ",,,"связь карьера,  осо"
Медиа,Студенческий медиацентр,"занимается информационным освещением жизни университета, продвижением бренда среди молодежи. Участники получают навыки фото и видео съемки, SMM, дизайна, работают журналистами, ведущими и редакторами. Проводит Школу медиа для развития мультимедийных навыков и командной работы",,,
Медиа,Фотоклуб НИЯУ МИФИ,"""сообщество фотографов НИЯУ МИФИ

сообщество, объединяющее сердца и проекты людей из

Пресс-служба ОСО НИЯУ МИФИ
Редакция студенческого журнала """"АТОМ""""
Отдел мультимедийных технологий НИЯУ МИФИ""","администратор сообщества, фотограф - https://vk.com/id131702533, https://vk.com/denslect",https://t.me/photomephi https://vk.com/mephiphotos,связь с осо
Медиа,Пресс-служба ОСО НИЯУ МИФИ ,"информационный отдел Объединенного совета обучающихся, занимающийся освещением крупнейших студенческих мероприятий внутри и вне стен университета, а также продвижением бренда НИЯУ МИФИ среди молодёжи.",руководитель -  Русинова Марина Юрьевна - https://vk.com/marinaded,https://vk.com/osomephi ,связь осо
Наука,Студенческое научное общество (СНО) НИЯУ МИФИ,"главное научное объединение студентов, занимающихся научно-исследовательской, инновационной и научно-просветительской деятельностью. СНО создаёт условия для развития научного потенциала студентов, координирует научные инициативы, организует научные кружки, проекты, конференции, хакатоны и лектории, а также подготовку к олимпиадам.","""председатель - https://vk.com/id467808482
sno@mephi.ru, заместитель председателя - https://vk.com/lorwefg
sno@mephi.ru, куратор - https://vk.com/militarytide
AGBorodina@mephi.ru ""","""https://vk.com/snomephi Телеграм: @snomephi YouTube: https://clck.ru/sK2om По любым вопросам и интересным предложениям sno@mephi.ru
Теперь мы оперативно отвечаем на любые ваши вопросы в telegram @snomephi_bot""",связь ОСО
Наука,Студенческое научное общество ИАТЭ НИЯУ МИФИ,"объединение студентов Института ядерной и атомной энергетики, активно участвующих в научно-исследовательской работе в институте, включающее кружки, исследовательские группы и турнирное направление для начинающих исследователей",,,
Наука,Студенческое научное общество ДИТИ НИЯУ МИФИ ,"(Димитровградский инженерно-технологический институт) — поддерживает молодых учёных, организует школы и семинары, научно-практические мероприятия, круглые столы и научно-популярные лекции, а также интеллектуальные игры и мастер-классы для развития научного мышления",,,
Наука,Клуб знатоков,"""Клуб интеллектуальных игр 
===========================
Тренировки проводятся каждую неделю по вечерам ПЯТНИЦЫ.
Следи за анонсами и точным временем начала тренировок на стене группы.""",руководитель - https://vk.com/ya_na_otdahe: заместитель - https://vk.com/vilgelm_tullius,https://vk.com/znatokmephi,связь осо
Наука,Математическая лига,"Открытое объединение всех интересующихся математикой, направленное на популяризацию студенческого математического образования",,https://t.me/mathleague,связь осо
Общественная деятельность,Движение кураторов,"Кураторское движение - это объединение инициативных людей, помогающих адаптироваться первокурсникам к студенческой жизни. Чтобы стать куратором, необходимо пройти Школу Кураторов, которая проходит ежегодно во второй половине августа.",Кузьмина Дарья Александровна-https://vk.com/daria_kuz,https://vk.com/curator_mephi и тг: https://t.me/vsemvsemq,связь осо
Общественная деятельность,Волонтерский центр,"объединение студентов НИЯУ МИФИ, занимающихся социальным, событийным и экологическим добровольчеством.",Финогенова Елизавета Владимировна,https://vk.com/vcmephi,связь осо
Общественная деятельность,ЭкоМИФИ,"ЭкоМИФИ — экологическое движение студентов НИЯУ МИФИ. Члены объединения стараются вовлечь как можно больше людей в деятельную заботу о сохранении природы и стремятся к уменьшению собственного экоследа.ЭкоМИФИ организует акции по раздельному сбору отходов, ведёт постоянный сбор большого количества видов вторсырья на территории университета и общежитий, а также проводит просветительские мероприятия.",Акимова Анна Павловна - vk.com/onjouse,vk.com/ecomephi,связь осо
Общественная деятельность,Патриотический клуб верность,"Основные задачи:1)активизация созидательной работы в молодежной среде; 2)формирование у студентов чувства долга, ответственности за судьбы людей и порученное дело; 3)исследование духовно-исторического наследия России на основе новых информационных технологий; 4)организация на постоянной основе в рамках курса социально-гуманитарных дисциплин НИЯУ МИФИ факультативных занятий по углубленному изучению отечественной военной истории; 5)подготовка и проведение мероприятий, связанных с днями воинской славы (победными днями) России, другими памятными датами отечественной истории, с популяризацией и пропагандой деятельности выдающихся российских и советских полководцев и военачальников; 6) периодический выпуск материалов, посвященных отечественной истории и истории НИЯУ МИФИ.",Горячкин Павел- https://vk.com/pavel_goryachkind,https://vk.com/vernost.mephi   https://t.me/s/vernost_mephi,связь осо
Общественная деятельность,Cтаростат,"Старостат НИЯУ МИФИ — составная часть системы студенческого самоуправления университета, которая даёт возможность каждому студенту — вне зависимости от области его интересов — принимать участие в повышении качества образовательного процесса в университете.",Глеб Просенюк - тг:@Glebushhhka,starostat@mephi.ru https://t.me/starostat_nrnu_mephi,связь осо
Общественная деятельность,Совет общежитий,"Студенческое объединение, основной задачей которого является защита прав и интересов обучающихся, проживающих в общежитиях университета. Члены Совета участвуют во всех сферах жизни общежитий — от решения бытовых проблем проживающих до организации масштабных полезно-значимых досуговых мероприятий.",Председатель СО — Баяндина Алёна Константиновна Заместитель председателя — Бугаец Арина Андреевна,https://t.me/somephi (чат t.me/somephi_chat)   vk.com/somephi,связь осо
Общественная деятельность,Клуб интернациональной дружбы,"Клуб Интернациональной Дружбы возрождён в 2023 году, чтобы помогать иностранным студентам быстро и эффективно интегрироваться в студенческую жизнь НИЯУ МИФИ.",Ариина Пирогова -https://vk.com/arisha_pirogova,https://vk.com/kid_mephi  https://t.me/kid_mephi,
ОСО,студенческое научное сообщество,"Студенческое научное общество НИЯУ МИФИ — объединение, направленное на создание единой платформы, в рамках которой возможна горизонтальная коммуникация между студентами, преподавателями, научными сотрудниками и администрацией университета. 

Наша главная задача — создание комфортных условий для развития научного и исследовательского потенциала студентов МИФИ, а также увеличение заинтересованности в науке.","председатель - https://vk.com/id467808482
sno@mephi.ru, заместитель председателя - https://vk.com/lorwefg
sno@mephi.ru, куратор - https://vk.com/militarytide
AGBorodina@mephi.ru ","https://vk.com/snomephi Телеграм: @snomephi YouTube: https://clck.ru/sK2om По любым вопросам и интересным предложениям sno@mephi.ru
Теперь мы оперативно отвечаем на любые ваши вопросы в telegram @snomephi_bot",связь наука
,,,,,
ОСО,клуб знатоков,"Клуб интеллектуальных игр 
===========================
Тренировки проводятся каждую неделю по вечерам ПЯТНИЦЫ.
Следи за анонсами и точным временем начала тренировок на стене группы.",руководитель - https://vk.com/ya_na_otdahe: заместитель - https://vk.com/vilgelm_tullius,https://vk.com/znatokmephi,"связь наука, досуг"
ОСО,математическая лига,"Открытое объединение всех интересующихся математикой, направленное на популяризацию студенческого математического образования",,https://t.me/mathleague,связь наука 
ОСО,"Клуб дебатов и лекций НИЯУ МИФИ ""Нестор""","Клуб дебатов и лекций «Нестор» - это не просто площадка для обсуждений, это школа живой мысли, где ты научишься аргументировать свою точку зрения так, чтобы оппоненты сдавались без боя. 

В «Несторе» тебя ждут:

• Жаркие дебаты
• Дебат-турниры
• Лекции от опытных спикеров

Присоединяйся к «Нестору» и научись уверенно отстаивать свою точку зрения!","председатель - https://vk.com/mortiferum_ursus, сотрудничество и внешние связи - https://vk.com/perekser",https://vk.com/nestormephi https://discord.gg/GVKEweQ9 https://t.me/+1rZZ_8uQIXI1MWU6,связь досуг
ОСО,день донора,"Несмотря на то, что Москва — большой город, многие больницы часто сталкиваются с проблемой нехватки донорской крови. Это связано с тем, что люди очень заняты учебой, работой, и не могут выделить несколько часов на визит в отделение переливания крови. 

Поэтому добровольческое движение НИЯУ МИФИ сделало все возможное, чтобы студенты смогли сдать кровь, не отрываясь от учебы. Традиционно 4 раза в год врачи Федерального медико-биологического агентства приезжают прямо в здание института.
 
Донором может стать студент, достигший 18 лет и не имеющий противопоказаний к сдаче крови. При себе необходимо иметь только паспорт и СНИЛС.",,https://vk.com/donordaymephi Telegram: https://t.me/donordaymephi,связь проекты-события
ОСО,"благотворительный фестиваль ""от сердца к сердцу""",Творчество в помощь детям ,,"https://t.me/h2hfest
Наша группа Вконтакте: https://vk.com/h2hfest_msk",связь проекты-события
ОСО,Волонтёрский центр,"Волонтёрский центр – объединение студентов НИЯУ МИФИ, занимающихся социальным и событийным добровольчеством. Став частью нашей команды, вы сможете помогать окружающим, дарить тепло и заботу им, организовывать различные акции, а также раскрыть свой потенциал и прокачать личностные качества. В нашей сплочённой и дружной команде мы рады каждому!",заместитель председателя - https://vk.com/mary_soldatofff руководитель медиа - https://vk.com/amarkova05 председатель - https://vk.com/kaksamyydikiyzames,https://vk.com/vcmephi,связь общественная деятельность
ОСО,ЭкоМИФИ,"ЭкоМИФИ - это сообщество студентов, заботящихся об окружающей среде. Наша миссия - создание в университете комфортной среды для ведения экологичного образа жизни.

Чем мы занимаемся?

Внедряем раздельный сбор отходов на территории вуза и общежитий;

Проводим просветительские мероприятия и экологические мастер-классы;

Делимся с вами эко-новостями в соцсетях.","руководитель - Акимова Анна, vk.com/onjouse",https://vk.com/ecomephi,связь общественная деятельность
ОСО,Спортивный клуб «Реактор»,"спортивное объединение, которое занимается популяризацией спорта и активного образ жизни в студенческой среде. Клуб организует внутренние мероприятия, взаимодействует с кафедрой физического воспитания, а также сотрудничает с АССК России. Объединение активно поддерживает сборные команды вуза, освещает их достижения в социальных сетях и проводит прямые трансляции выступлений.
","руководитель - https://vk.com/lesnikhauz velosiped37@yandex.ru заместитель руководителя, руководитель направлений дизайн и социальные сети - https://vk.com/biktanas жёсткий писарь - https://vk.com/mur____uwu____mur",https://vk.com/reactorclub t.me/reactor_mephi,спорт осо
ОСО,Культура и Творчество МИФИ (КиТ МИФИ),"Доступно и интересно рассказываем студентам МИФИ обо всех видах искусства и культурной жизни не только в самом университете, но и за его пределами!",https://vk.com/kozlovaa_ia IATyurina@mephi.ru; https://vk.com/titanium22b rakozlov@mephi.ru; редактор - https://vk.com/tatuanaru,https://vk.com/culturamephi Telegram: https://t.me/kit_mephi,связь искусство 
ОСО,Клуб Любителей Поэзии НИЯУ МИФИ,"КЛП - это дружный коллектив студентов, сотрудников и преподавателей университета, которым небезразлична поэзия в любых её проявлениях. Клуб каждые две недели проводит музыкально-поэтические вечера, гитарники и вечера поэтического просвещения, а также публикует стихотворения авторов-мифистов в социальных сетях и на страницах сборников поэтов МИФИ.","руководитель клуба - https://vk.com/bolgarew, куратор клуба - https://vk.com/ilya_simanchev, https://vk.com/karpova_bereza (не подписанно кто)","https://vk.com/mephi_poetry Telegram:
https://t.me/mephi_poetry",связь искусство 
ОСО,Восьмое Творческое Объединение (ВТО МИФИ),"ВТО - это студенческий ТЕАТР. Существует с 1969 года. Здесь ставят целые концерты и отдельные миниатюры, делают интерактивные квест-игры, снимают пародий и скетчи, организуют творческие выезды на природу. ""Специализация"" - комедия во всей её красе.

В ВТО вы сможете:

играть на сцене

открыть в себе талант сценариста

посидеть в кресле режиссёра

создавать костюмы

выступать в МИФИ и на многих площадках Москвы, Питера и даже Беларуси",руководитель - https://vk.com/ojbvfr: экс-руководитель и консильери - https://vk.com/titanium22b,https://vk.com/vtomephi,связь искусство 
ОСО,Лаборатория звука,"Лаборатория звука МИФИ - это студенческое объединение, деятельность которого направлена на развитие неформальных музыкальных коллективов разных жанров в МИФИ. Лаборатория звука является наследником Рок-лаборатории, появившейся еще в конце 90-х и собравшей под своим крылом немало молодых рок-групп. Одни группы уже не играют, другие изменили состав, название, место обитания и играют еще лучше, чем раньше.

Основной силой Лаборатории являются студенты, увлеченные музыкой, способные к творчеству и мечтающие о головокружительном успехе.
Если ты один/одна из таких, присоединяйся, тебе понравится!","студенческий руководитель, администратор репбазы, ответственный за ударные - https://vk.com/id172560064; заместитель, администратор репбазы, ответственный за технику - https://vk.com/madvasya: отвечу на вопросы - https://vk.com/mavtice, https://vk.com/tapppyofficial, https://vk.com/anchous_annstep: главный редактор и дизайнер - https://vk.com/kate_sh9: редактор и дизайнер - https://vk.com/alexofrivia: отец-основатель - https://vk.com/leliksss",https://vk.com/rl_mephi,связь искусство 
ОСО,ИЗО-Центр НИЯУ МИФИ,"инженеры-художники по стопам Леонардо ИЗО-Центр создан, чтобы:
- отвлечься от бесконечного матана;
- забыть все нерешенные задачи на время, пока ты держишь кисточку в руке;
- пить чай с печеньем, пока на твоей картине застывает краска;
- походить по выставкам в хорошей компании 
- и найти единомышленников
В ИЗО-Центре “Арт-подсобка” каждый может расслабиться и почувствовать себя настоящим художником. Сейчас ИЗО-Центр обучает традиционному рисованию и графическому дизайну. По выходным в студии можно освоить азы академического рисунка и портрета, научиться работать с цветом и перспективой, начать рисовать акрилом и маслом под руководством художника-преподавателя.
Когда: воскресенье (2 раза в месяц) и суббота (2 раза в месяц) с 13:00 до 16:00

Где: ул. Москворечье, д.15, отдельный вход в ""Квант"" (детский сад №526)","руководитель ИЗО-центра - https://vk.com/id42083540: студенческий руководитель ИЗО-центра - https://vk.com/lizaforrr: зам.руководителя - https://vk.com/agirlincapri, https://vk.com/well_hows_it_going: староста ИЗО-центра - https://vk.com/p.semenof",https://vk.com/artpodsobka https://t.me/izocentr,связь искусство 
ОСО,Клуб исторического фехтования и ролевого моделирования,Приветствуем всех желающих заниматься историческим фехтованием!,"глава клуба - https://vk.com/aleksandra_shch
+7 (925) 843-00-72: ответственный за тренировочный процесс - https://vk.com/misha_feral
+7 (915) 465-33-32: работа с общественностью - https://vk.com/id195260636
+7 (929) 949-85-66",https://vk.com/mephi_virm,"связь досуг, искусство "
ОСО,Ансамбль бального танца ЭСТА НИЯУ МИФИ,"Секция танцевального спорта НИЯУ МИФИ - ""Больше чем просто танцы!"" Наши филиалы в Москве:

1. Коломенский проезд, д.21 (Библиотека 136)
2. Электролитный проезд, д.3, корп.1 (ДК Нагорный)
3. ул.Газопровод, д.9А, (ДК Маяк)","руководитель - https://vk.com/aporeshina
allaporeshina@gmail.com
+7 (926) 523-60-13, https://vk.com/poreshin
poreshin@mail.ru
+7 (926) 829-01-29",http://vk.me/esta_mephi,связь исскуство
ОСО,Академический Мужской Хор МИФИ,"Академический мужской хор МИФИ сегодня - это один из самых известных любительских коллективов России. Участниками хора являются студенты, сотрудники и выпускники Национального исследовательского ядерного университета ""МИФИ"".

Народный коллектив, лауреат премии Ленинского комсомола, лауреат Всероссийских и международных конкурс, Чемпион IX всемирных хоровых игр. Репертуар хора включает произведения всех времён, жанров и стилей: от сочинений эпохи барокко и Ренессанса до сложных современных хоровых партитур, песни советских композиторов и народные песни, русская и зарубежная классика, христианские песнопения Востока и Запада.

Мужской хор МИФИ регулярно участвует в известных российских хоровых фестивалях в Нижнем Новгороде, Сарове, Казани, Ярославле, Курске, Рыбинске, Смоленске, Калуге, Великом Новгороде. Хор регулярно совершает гастрольные поездки на российские атомные электростанции. Неоднократно мужской хор университета выступал с концертами на Красной площади Москвы в дни особых торжеств и государственных праздников нашей страны. В мае 2022 года Мужской хор МИФИ отметил свое 65-летие на сцене Большого зала Московской консерватории.

На сегодняшний день Академический мужской хор МИФИ занимает 9-ю позицию в мировом рейтинге мужских хоров.

Художественный руководитель и дирижер - заслуженная артистка РФ Надежда Малявина, главный хормейстер - Анна Хазанова. Хормейстеры: Лия Обшадко, Юлия Алисова, Елена Пестерева, заслуженный артист РФ Дмитрий Семеновский.",https://vk.com/paha76 https://vk.com/ufedotov https://vk.com/kaskov_s,https://t.me/s/choirmephi https://vk.com/choirmephi,связь искусство 
ОСО,"Камерный хор НИЯУ МИФИ ""CARPE DIEM""","Камерный хор начал свою историю в МИФИ в 2001 году. Коллектив ежегодно принимает участие в культурно-массовых мероприятиях Университета, ведет активную концертную деятельность, выступает на ведущих концертных площадках Москвы и представляет МИФИ на городских и международных фестивалях, таких как: ""Фестос"", ""Chorus inside"" (г. Москва), ""Папараць-кветка"" (г. Минск), ""Молодые голоса"" (г. Нижний Новгород), VII Всероссийский конкурс академических хоров и вокальных ансамблей ""Поющая Россия (г. Санкт-Петербург), VII Международный фестиваль студенческих и академических хоров ""Веснушка"" (г. Ярославль), ""Прага Моцарта"" (г. Прага), ""Словакия кантат–2014"" (г. Братислава). На II Всероссийском хоровом конкурсе-фестивале «Хоровая Казань–2016» коллектив стал победителем в номинации «Смешанные хоры» и обладателем специального приза за лучшее исполнение произведения а капелла. В феврале 2017 года Камерный хор одержал победу на IV Международном фестивале хоровой музыки имени Г.Е. Терацуянца в конкурсе на лучшее исполнение произведения композитора стран Северной Европы и Карелии (г. Петрозаводск).

Также Камерный хор «CARPE DIEM» представляет вниманию публики независимые музыкальные программы совместно с профессиональными музыкальными ансамблями. В репертуаре — хоровая музыка различных эпох.",руководитель: Гурская Елена Сергеевна- https://vk.com/gurskayaelena Хормейстер: Даутов Остап Олегович - https://vk.com/ostap4eg669,https://vk.com/carpediemchoir https://t.me/carpediemchoir,связь искусство 
ОСО,"Вокальная студия НИЯУ МИФИ ""Quanto di Stella""","QUANTO DI STELLA - ЧАСТИЧКА ЗВЕЗДЫ

Занятия в нашем коллективе дадут тебе следующие возможности:
- постановка голоса
- постановка дыхания
- раскрепощение
- работа над дикцией
- актерское мастерство
- работа с микрофоном
- выступление на сцене в ансамбле <3
- сольные выступления.

Также с нами ты сможешь совершенствовать свои навыки аккомпанемента на музыкальных инструментах. Если у тебя уже есть любимые произведения, то работа в студии поможет тебе овладеть ими!",староста ансамбля - https://vk.com/id384208537: руководитель - https://vk.com/id87809882,https://vk.com/quanto_di_stella,связь искусство 
ОСО,Студия искусств «Х.Л.А.М.»,"“…если вы начнёте рассматривать искусства в их совокупности, вы ощутите вечное течение жизни…” - Ромен Роллан
 
Студия искусств «Х.Л.А.М.» - это место реализации талантов! 
 
Мы объединяем в себе все виды искусства: Хореографию, Литературу, Актёрское мастерство, Музыку и многие другие. 
 
Здесь каждый найдёт занятие по душе: вы сможете рисовать, научиться танцевать, попробовать себя как актёра, декоратора, сценариста; научиться чему-то новому и воплотить в жизнь даже самую безумную идею. 
 
Вы сможете погрузиться и погрузить зрителя в чарующую атмосферу любимого литературного произведения, прожить на сцене чувства любимого героя; создать незабываемый перформанс, который объединит в себе эстетическую и историко-культурную цель. 
 
Также мы устраиваем уличные выступления в красивых местах города и ведём медиапроекты! 
 
Мы объединяем участников в большую компанию талантливых и творческих ребят. Наши двери открыты для каждого, кто чувствует в себе страсть к созданию прекрасного. Ждём вас! ",организатор - https://vk.com/mrmagician,https://vk.com/art__calm,связь искусство 
ОСО,Пресс-служба ОСО НИЯУ МИФИ,"информационный отдел Объединенного совета обучающихся, занимающийся освещением крупнейших студенческих мероприятий внутри и вне стен университета, а также продвижением бренда НИЯУ МИФИ среди молодёжи.",руководитель -  Русинова Марина Юрьевна - https://vk.com/marinaded,https://vk.com/osomephi ,связь медиа
ОСО,Кураторское движение НИЯУ МИФИ,"Кураторское движение - это объединение инициативных людей, помогающих адаптироваться первокурсникам к студенческой жизни. Чтобы стать куратором, необходимо пройти Школу Кураторов, которая проходит ежегодно во второй половине августа.",руководитель кураторского движения - https://vk.com/daria_kuz,"https://t.me/vsemvsemq, https://vk.com/curator_mephi",
